I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcublas.so locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcudnn.so locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcufft.so locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcuda.so.1 locally
I tensorflow/stream_executor/dso_loader.cc:111] successfully opened CUDA library libcurand.so locally
I tensorflow/core/common_runtime/gpu/gpu_device.cc:951] Found device 0 with properties: 
name: Tesla K20m
major: 3 minor: 5 memoryClockRate (GHz) 0.7055
pciBusID 0000:03:00.0
Total memory: 4.69GiB
Free memory: 4.61GiB
W tensorflow/stream_executor/cuda/cuda_driver.cc:572] creating context when one is currently active; existing: 0x24ff2720
I tensorflow/core/common_runtime/gpu/gpu_device.cc:951] Found device 1 with properties: 
name: Tesla K20m
major: 3 minor: 5 memoryClockRate (GHz) 0.7055
pciBusID 0000:83:00.0
Total memory: 4.69GiB
Free memory: 4.61GiB
I tensorflow/core/common_runtime/gpu/gpu_device.cc:855] cannot enable peer access from device ordinal 0 to device ordinal 1
I tensorflow/core/common_runtime/gpu/gpu_device.cc:855] cannot enable peer access from device ordinal 1 to device ordinal 0
I tensorflow/core/common_runtime/gpu/gpu_device.cc:972] DMA: 0 1 
I tensorflow/core/common_runtime/gpu/gpu_device.cc:982] 0:   Y N 
I tensorflow/core/common_runtime/gpu/gpu_device.cc:982] 1:   N Y 
I tensorflow/core/common_runtime/gpu/gpu_device.cc:1041] Creating TensorFlow device (/gpu:0) -> (device: 0, name: Tesla K20m, pci bus id: 0000:03:00.0)
step 300, training (test) accuracy 0.575, cost 72.6489
step 300, training (test) accuracy 0.6, cost 75.4718
step 300, training (test) accuracy 0.6, cost 78.4322
step 300, training (test) accuracy 0.575, cost 82.7587
step 325, training (test) accuracy 0.6, cost 76.8786
step 325, training (test) accuracy 0.575, cost 78.5211
step 325, training (test) accuracy 0.575, cost 79.9371
step 325, training (test) accuracy 0.575, cost 81.0521
step 350, training (test) accuracy 0.6, cost 66.7971
step 350, training (test) accuracy 0.575, cost 65.7475
step 350, training (test) accuracy 0.575, cost 63.1317
step 350, training (test) accuracy 0.625, cost 61.093
step 375, training (test) accuracy 0.55, cost 67.6853
step 375, training (test) accuracy 0.6, cost 67.1326
step 375, training (test) accuracy 0.575, cost 68.1199
step 375, training (test) accuracy 0.55, cost 68.6519
step 400, training (test) accuracy 0.55, cost 65.0802
step 400, training (test) accuracy 0.55, cost 65.1536
step 400, training (test) accuracy 0.55, cost 65.77
step 400, training (test) accuracy 0.55, cost 66.469
step 425, training (test) accuracy 0.55, cost 104.315
step 425, training (test) accuracy 0.55, cost 103.505
step 425, training (test) accuracy 0.525, cost 100.171
step 425, training (test) accuracy 0.525, cost 94.5617
step 450, training (test) accuracy 0.55, cost 93.2507
step 450, training (test) accuracy 0.55, cost 92.1952
step 450, training (test) accuracy 0.55, cost 91.3634
step 450, training (test) accuracy 0.55, cost 91.5747
step 475, training (test) accuracy 0.475, cost 84.7947
step 475, training (test) accuracy 0.5, cost 86.1967
step 475, training (test) accuracy 0.5, cost 86.3052
step 475, training (test) accuracy 0.475, cost 86.2724
step 500, training (test) accuracy 0.575, cost 92.884
step 500, training (test) accuracy 0.6, cost 93.4579
step 500, training (test) accuracy 0.575, cost 94.9467
step 500, training (test) accuracy 0.55, cost 96.2855
step 525, training (test) accuracy 0.55, cost 79.8352
step 525, training (test) accuracy 0.575, cost 78.5394
step 525, training (test) accuracy 0.6, cost 79.533
step 525, training (test) accuracy 0.625, cost 80.5086
step 550, training (test) accuracy 0.575, cost 87.0872
step 550, training (test) accuracy 0.55, cost 87.9655
step 550, training (test) accuracy 0.55, cost 88.7076
step 550, training (test) accuracy 0.55, cost 89.29
step 575, training (test) accuracy 0.6, cost 68.8141
step 575, training (test) accuracy 0.6, cost 69.411
step 575, training (test) accuracy 0.6, cost 69.9959
step 575, training (test) accuracy 0.575, cost 70.5817
step 600, training (test) accuracy 0.625, cost 81.6036
step 600, training (test) accuracy 0.625, cost 81.3481
step 600, training (test) accuracy 0.625, cost 81.3459
step 600, training (test) accuracy 0.625, cost 81.2153
step 625, training (test) accuracy 0.625, cost 92.8314
step 625, training (test) accuracy 0.625, cost 91.9893
step 625, training (test) accuracy 0.6, cost 91.1209
step 625, training (test) accuracy 0.6, cost 90.3868
step 650, training (test) accuracy 0.525, cost 112.474
step 650, training (test) accuracy 0.55, cost 110.305
step 650, training (test) accuracy 0.525, cost 108.986
step 650, training (test) accuracy 0.525, cost 106.775
step 675, training (test) accuracy 0.55, cost 108.397
step 675, training (test) accuracy 0.575, cost 106.956
step 675, training (test) accuracy 0.575, cost 104.836
step 675, training (test) accuracy 0.575, cost 103.463
step 700, training (test) accuracy 0.575, cost 66.7261
step 700, training (test) accuracy 0.6, cost 66.6808
step 700, training (test) accuracy 0.6, cost 66.5976
step 700, training (test) accuracy 0.6, cost 66.7132
step 725, training (test) accuracy 0.6, cost 83.6653
step 725, training (test) accuracy 0.6, cost 83.0953
step 725, training (test) accuracy 0.6, cost 82.105
step 725, training (test) accuracy 0.6, cost 81.3781
step 750, training (test) accuracy 0.625, cost 111.725
step 750, training (test) accuracy 0.625, cost 111.563
step 750, training (test) accuracy 0.6, cost 111.106
step 750, training (test) accuracy 0.575, cost 111.036
step 775, training (test) accuracy 0.6, cost 91.9236
step 775, training (test) accuracy 0.625, cost 93.1002
step 775, training (test) accuracy 0.6, cost 94.2328
step 775, training (test) accuracy 0.6, cost 95.7156
step 800, training (test) accuracy 0.55, cost 81.4127
step 800, training (test) accuracy 0.575, cost 81.384
step 800, training (test) accuracy 0.575, cost 81.4204
step 800, training (test) accuracy 0.575, cost 81.4921
step 825, training (test) accuracy 0.625, cost 105.151
step 825, training (test) accuracy 0.625, cost 105.435
step 825, training (test) accuracy 0.625, cost 105.778
step 825, training (test) accuracy 0.625, cost 106.105
step 850, training (test) accuracy 0.65, cost 83.2028
step 850, training (test) accuracy 0.65, cost 83.4432
step 850, training (test) accuracy 0.65, cost 83.6791
step 850, training (test) accuracy 0.65, cost 83.7833
step 875, training (test) accuracy 0.65, cost 85.4325
step 875, training (test) accuracy 0.65, cost 85.9003
step 875, training (test) accuracy 0.65, cost 86.333
step 875, training (test) accuracy 0.65, cost 86.7308
step 900, training (test) accuracy 0.6, cost 94.852
step 900, training (test) accuracy 0.6, cost 94.9117
step 900, training (test) accuracy 0.6, cost 94.9678
step 900, training (test) accuracy 0.6, cost 95.0181
step 925, training (test) accuracy 0.475, cost 96.9291
step 925, training (test) accuracy 0.475, cost 98.5771
step 925, training (test) accuracy 0.475, cost 101.217
step 925, training (test) accuracy 0.525, cost 101.452
step 950, training (test) accuracy 0.65, cost 78.9329
step 950, training (test) accuracy 0.65, cost 75.88
step 950, training (test) accuracy 0.675, cost 73.3958
step 950, training (test) accuracy 0.7, cost 72.5621
step 975, training (test) accuracy 0.575, cost 74.0972
step 975, training (test) accuracy 0.575, cost 73.9947
step 975, training (test) accuracy 0.575, cost 73.2314
step 975, training (test) accuracy 0.6, cost 73.1216
step 1000, training (test) accuracy 0.6, cost 97.1583
step 1000, training (test) accuracy 0.625, cost 98.2719
step 1000, training (test) accuracy 0.6, cost 91.6784
step 1000, training (test) accuracy 0.6, cost 89.5834
step 1025, training (test) accuracy 0.675, cost 86.4492
step 1025, training (test) accuracy 0.625, cost 88.3604
step 1025, training (test) accuracy 0.625, cost 90.7443
step 1025, training (test) accuracy 0.625, cost 93.1364
step 1050, training (test) accuracy 0.45, cost 113.089
step 1050, training (test) accuracy 0.45, cost 113.144
step 1050, training (test) accuracy 0.45, cost 113.164
step 1050, training (test) accuracy 0.425, cost 113.177
step 1075, training (test) accuracy 0.6, cost 104.326
step 1075, training (test) accuracy 0.6, cost 107.047
step 1075, training (test) accuracy 0.55, cost 109.005
step 1075, training (test) accuracy 0.575, cost 110.32
step 1100, training (test) accuracy 0.475, cost 100.705
step 1100, training (test) accuracy 0.525, cost 100.437
step 1100, training (test) accuracy 0.525, cost 100.751
step 1100, training (test) accuracy 0.525, cost 100.654
step 1125, training (test) accuracy 0.575, cost 68.1283
step 1125, training (test) accuracy 0.575, cost 68.1927
step 1125, training (test) accuracy 0.575, cost 68.1969
step 1125, training (test) accuracy 0.575, cost 68.1811
step 1150, training (test) accuracy 0.5, cost 79.9364
step 1150, training (test) accuracy 0.5, cost 81.8863
step 1150, training (test) accuracy 0.5, cost 84.7248
step 1150, training (test) accuracy 0.475, cost 87.547
step 1175, training (test) accuracy 0.55, cost 100.462
step 1175, training (test) accuracy 0.575, cost 101.16
step 1175, training (test) accuracy 0.6, cost 102.048
step 1175, training (test) accuracy 0.6, cost 102.604
step 1200, training (test) accuracy 0.6, cost 86.7501
step 1200, training (test) accuracy 0.575, cost 86.5345
step 1200, training (test) accuracy 0.575, cost 86.3423
step 1200, training (test) accuracy 0.6, cost 87.2059
step 1225, training (test) accuracy 0.5, cost 119.849
step 1225, training (test) accuracy 0.475, cost 113.911
step 1225, training (test) accuracy 0.475, cost 109.456
step 1225, training (test) accuracy 0.475, cost 105.978
step 1250, training (test) accuracy 0.55, cost 75.1434
step 1250, training (test) accuracy 0.575, cost 74.0313
step 1250, training (test) accuracy 0.575, cost 73.3251
step 1250, training (test) accuracy 0.575, cost 72.8301
step 1275, training (test) accuracy 0.6, cost 88.816
step 1275, training (test) accuracy 0.575, cost 89.0017
step 1275, training (test) accuracy 0.525, cost 90.1149
step 1275, training (test) accuracy 0.55, cost 92.6788
step 1300, training (test) accuracy 0.525, cost 102.801
step 1300, training (test) accuracy 0.525, cost 103.498
step 1300, training (test) accuracy 0.525, cost 101.646
step 1300, training (test) accuracy 0.575, cost 99.9331
step 1325, training (test) accuracy 0.5, cost 125.025
step 1325, training (test) accuracy 0.5, cost 121.67
step 1325, training (test) accuracy 0.5, cost 119.155
step 1325, training (test) accuracy 0.45, cost 117.463
step 1350, training (test) accuracy 0.5, cost 96.6554
step 1350, training (test) accuracy 0.5, cost 97.7581
step 1350, training (test) accuracy 0.5, cost 98.5167
step 1350, training (test) accuracy 0.5, cost 99.2793
step 1375, training (test) accuracy 0.625, cost 101.699
step 1375, training (test) accuracy 0.6, cost 102.79
step 1375, training (test) accuracy 0.6, cost 103.499
step 1375, training (test) accuracy 0.625, cost 104.157
step 1400, training (test) accuracy 0.575, cost 92.0252
step 1400, training (test) accuracy 0.575, cost 90.5142
step 1400, training (test) accuracy 0.575, cost 88.9836
step 1400, training (test) accuracy 0.575, cost 88.239
step 1425, training (test) accuracy 0.625, cost 76.3724
step 1425, training (test) accuracy 0.625, cost 79.5984
step 1425, training (test) accuracy 0.625, cost 83.7204
step 1425, training (test) accuracy 0.625, cost 89.4398
step 1450, training (test) accuracy 0.575, cost 148.617
step 1450, training (test) accuracy 0.575, cost 148.489
step 1450, training (test) accuracy 0.575, cost 148.277
step 1450, training (test) accuracy 0.575, cost 148.003
step 1475, training (test) accuracy 0.575, cost 115.397
step 1475, training (test) accuracy 0.625, cost 115.581
step 1475, training (test) accuracy 0.6, cost 116.863
step 1475, training (test) accuracy 0.6, cost 117.993
step 1500, training (test) accuracy 0.55, cost 113.76
step 1500, training (test) accuracy 0.55, cost 112.396
step 1500, training (test) accuracy 0.55, cost 112.487
step 1500, training (test) accuracy 0.55, cost 112.979
step 1525, training (test) accuracy 0.6, cost 117.62
step 1525, training (test) accuracy 0.6, cost 117.608
step 1525, training (test) accuracy 0.6, cost 117.615
step 1525, training (test) accuracy 0.6, cost 117.617
step 1550, training (test) accuracy 0.525, cost 134.101
step 1550, training (test) accuracy 0.525, cost 134.066
step 1550, training (test) accuracy 0.525, cost 134.031
step 1550, training (test) accuracy 0.525, cost 134.001
step 1575, training (test) accuracy 0.575, cost 127.679
step 1575, training (test) accuracy 0.575, cost 128.453
step 1575, training (test) accuracy 0.575, cost 128.798
step 1575, training (test) accuracy 0.575, cost 128.87
step 1600, training (test) accuracy 0.6, cost 121.419
step 1600, training (test) accuracy 0.575, cost 121.26
step 1600, training (test) accuracy 0.575, cost 121.216
step 1600, training (test) accuracy 0.575, cost 121.052
step 1625, training (test) accuracy 0.575, cost 142.049
step 1625, training (test) accuracy 0.55, cost 142.418
step 1625, training (test) accuracy 0.6, cost 138.38
step 1625, training (test) accuracy 0.525, cost 145.885
step 1650, training (test) accuracy 0.525, cost 111.927
step 1650, training (test) accuracy 0.55, cost 113.191
step 1650, training (test) accuracy 0.55, cost 114.976
step 1650, training (test) accuracy 0.575, cost 110.425
step 1675, training (test) accuracy 0.6, cost 96.3981
step 1675, training (test) accuracy 0.6, cost 97.0716
step 1675, training (test) accuracy 0.6, cost 97.6983
step 1675, training (test) accuracy 0.55, cost 93.6336
step 1700, training (test) accuracy 0.6, cost 107.481
step 1700, training (test) accuracy 0.6, cost 107.452
step 1700, training (test) accuracy 0.6, cost 109.868
step 1700, training (test) accuracy 0.6, cost 112.119
step 1725, training (test) accuracy 0.5, cost 122.617
step 1725, training (test) accuracy 0.475, cost 123.112
step 1725, training (test) accuracy 0.475, cost 123.654
step 1725, training (test) accuracy 0.475, cost 123.978
step 1750, training (test) accuracy 0.5, cost 117.913
step 1750, training (test) accuracy 0.5, cost 118.061
step 1750, training (test) accuracy 0.5, cost 118.152
step 1750, training (test) accuracy 0.5, cost 118.267
step 1775, training (test) accuracy 0.525, cost 129.82
step 1775, training (test) accuracy 0.525, cost 128.529
step 1775, training (test) accuracy 0.55, cost 127.36
step 1775, training (test) accuracy 0.55, cost 127.241
step 1800, training (test) accuracy 0.525, cost 129.245
step 1800, training (test) accuracy 0.575, cost 129.393
step 1800, training (test) accuracy 0.6, cost 131.804
step 1800, training (test) accuracy 0.625, cost 134.403
step 1825, training (test) accuracy 0.575, cost 161.341
step 1825, training (test) accuracy 0.575, cost 159.775
step 1825, training (test) accuracy 0.575, cost 158.175
step 1825, training (test) accuracy 0.575, cost 156.776
step 1850, training (test) accuracy 0.625, cost 140.78
step 1850, training (test) accuracy 0.625, cost 142.021
step 1850, training (test) accuracy 0.6, cost 144.098
step 1850, training (test) accuracy 0.6, cost 146.711
step 1875, training (test) accuracy 0.575, cost 117.073
step 1875, training (test) accuracy 0.575, cost 117.373
step 1875, training (test) accuracy 0.575, cost 117.753
step 1875, training (test) accuracy 0.575, cost 118.095
step 1900, training (test) accuracy 0.5, cost 113.205
step 1900, training (test) accuracy 0.5, cost 115.372
step 1900, training (test) accuracy 0.5, cost 117.057
step 1900, training (test) accuracy 0.475, cost 118.675
step 1925, training (test) accuracy 0.55, cost 132.955
step 1925, training (test) accuracy 0.55, cost 133.499
step 1925, training (test) accuracy 0.575, cost 134.035
step 1925, training (test) accuracy 0.575, cost 134.639
step 1950, training (test) accuracy 0.575, cost 141.077
step 1950, training (test) accuracy 0.575, cost 141.626
step 1950, training (test) accuracy 0.575, cost 142.056
step 1950, training (test) accuracy 0.575, cost 142.412
step 1975, training (test) accuracy 0.575, cost 110.207
step 1975, training (test) accuracy 0.575, cost 111.703
step 1975, training (test) accuracy 0.575, cost 113.009
step 1975, training (test) accuracy 0.575, cost 114.123
Finished learning...
0.575
